Job_Role,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Access_to_Mental_Health_Resources,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,meetings_per_hour
Marketing,43,0,1,3,1,Unsatisfied,2,1.0,3,0.0
Marketing,48,6,4,3,0,Unsatisfied,4,2.0,1,0.125
Project Manager,39,15,4,3,0,Unsatisfied,3,,2,0.38461538461538464
Project Manager,49,15,1,3,0,Neutral,1,,2,0.30612244897959184
Marketing,38,11,4,1,1,Unsatisfied,2,2.0,3,0.2894736842105263
Data Scientist,32,10,2,1,0,Satisfied,4,1.0,2,0.3125
Designer,47,7,4,3,1,Neutral,2,1.0,1,0.14893617021276595
HR,39,3,1,1,0,Satisfied,2,,3,0.07692307692307693
Data Scientist,47,9,3,2,0,Satisfied,2,,2,0.19148936170212766
Designer,53,6,4,1,0,Unsatisfied,3,,3,0.11320754716981132
Designer,49,2,2,1,0,Unsatisfied,1,1.0,1,0.04081632653061224
Sales,47,9,2,3,0,Unsatisfied,2,,3,0.19148936170212766
Data Scientist,25,13,3,1,0,Neutral,4,2.0,2,0.52
Data Scientist,55,7,2,3,0,Neutral,3,,3,0.12727272727272726
Sales,35,4,3,1,0,Satisfied,5,2.0,3,0.11428571428571428
Data Scientist,57,2,4,3,1,Satisfied,5,2.0,1,0.03508771929824561
Project Manager,58,13,4,2,0,Satisfied,3,1.0,3,0.22413793103448276
Sales,44,12,1,1,1,Unsatisfied,5,2.0,2,0.2727272727272727
Data Scientist,28,4,2,2,0,Satisfied,1,,1,0.14285714285714285
Designer,25,6,1,1,0,Unsatisfied,5,1.0,2,0.24
Data Scientist,58,15,3,1,1,Unsatisfied,2,,1,0.25862068965517243
Designer,44,11,1,3,0,Unsatisfied,2,1.0,2,0.25
Designer,25,1,3,3,1,Unsatisfied,2,1.0,1,0.04
Project Manager,48,0,2,3,1,Unsatisfied,1,,3,0.0
Marketing,34,4,4,1,1,Neutral,3,1.0,2,0.11764705882352941
HR,38,1,1,2,0,Satisfied,4,,2,0.02631578947368421
Designer,37,14,2,1,1,Unsatisfied,3,,2,0.3783783783783784
Marketing,22,5,4,3,1,Neutral,2,1.0,3,0.22727272727272727
HR,22,3,2,1,1,Satisfied,4,2.0,2,0.13636363636363635
Marketing,52,3,5,1,0,Neutral,3,2.0,1,0.057692307692307696
Designer,28,3,3,1,1,Unsatisfied,5,2.0,2,0.10714285714285714
Data Scientist,43,3,1,2,1,Satisfied,5,,2,0.06976744186046512
Sales,41,8,3,1,1,Unsatisfied,2,2.0,2,0.1951219512195122
Marketing,48,3,3,3,0,Satisfied,2,,1,0.0625
Software Engineer,30,9,2,1,1,Satisfied,2,1.0,3,0.3
Data Scientist,29,1,1,2,0,Neutral,1,2.0,2,0.034482758620689655
Project Manager,31,0,3,3,0,Neutral,3,,2,0.0
HR,43,4,5,2,1,Neutral,4,2.0,1,0.09302325581395349
Marketing,56,2,2,2,1,Unsatisfied,4,1.0,1,0.03571428571428571
Data Scientist,58,9,2,3,1,Unsatisfied,4,2.0,3,0.15517241379310345
Marketing,53,7,4,3,1,Neutral,3,,3,0.1320754716981132
Marketing,36,3,5,2,0,Neutral,2,1.0,1,0.08333333333333333
Marketing,40,9,2,2,0,Unsatisfied,2,2.0,2,0.225
Software Engineer,60,8,1,3,1,Neutral,4,,1,0.13333333333333333
Marketing,44,2,5,2,0,Neutral,4,2.0,2,0.045454545454545456
Software Engineer,33,15,4,1,0,Satisfied,4,,3,0.45454545454545453
Data Scientist,50,7,5,1,1,Unsatisfied,2,2.0,3,0.14
Data Scientist,38,10,5,3,1,Unsatisfied,1,,3,0.2631578947368421
Project Manager,51,14,3,2,1,Neutral,1,2.0,1,0.27450980392156865
Designer,59,6,2,1,0,Neutral,4,,3,0.1016949152542373
Project Manager,54,0,4,2,1,Neutral,4,2.0,2,0.0
Project Manager,34,8,3,3,1,Satisfied,3,2.0,3,0.23529411764705882
Designer,37,3,2,1,0,Satisfied,5,1.0,3,0.08108108108108109
Designer,24,5,3,3,1,Unsatisfied,4,,2,0.20833333333333334
Project Manager,60,0,2,2,1,Satisfied,2,1.0,2,0.0
HR,34,5,2,1,0,Unsatisfied,1,,2,0.14705882352941177
HR,25,0,3,3,0,Satisfied,1,1.0,3,0.0
Software Engineer,41,13,3,1,0,Neutral,3,1.0,2,0.3170731707317073
Project Manager,54,15,2,3,0,Neutral,2,,2,0.2777777777777778
Designer,39,2,1,1,1,Unsatisfied,3,1.0,1,0.05128205128205128
Sales,52,15,2,3,0,Neutral,4,2.0,3,0.28846153846153844
Software Engineer,54,5,1,3,0,Satisfied,2,1.0,2,0.09259259259259259
Project Manager,22,15,5,2,1,Satisfied,3,,1,0.6818181818181818
Marketing,43,11,4,1,1,Satisfied,5,2.0,3,0.2558139534883721
HR,35,14,5,3,1,Neutral,1,,2,0.4
Software Engineer,26,0,1,1,0,Satisfied,3,1.0,2,0.0
HR,32,13,4,1,0,Unsatisfied,4,1.0,2,0.40625
Project Manager,53,9,3,2,0,Unsatisfied,2,2.0,2,0.16981132075471697
Data Scientist,32,15,3,3,1,Unsatisfied,5,,2,0.46875
Data Scientist,35,1,5,3,1,Unsatisfied,5,2.0,2,0.02857142857142857
Software Engineer,44,6,5,3,0,Neutral,3,2.0,1,0.13636363636363635
Software Engineer,24,5,3,3,1,Unsatisfied,4,1.0,2,0.20833333333333334
Sales,47,14,5,3,0,Neutral,1,,1,0.2978723404255319
Project Manager,32,1,5,1,1,Unsatisfied,1,1.0,2,0.03125
HR,32,0,2,2,0,Neutral,4,2.0,3,0.0
HR,39,4,1,1,0,Neutral,3,2.0,3,0.10256410256410256
Data Scientist,49,11,2,2,1,Satisfied,3,2.0,3,0.22448979591836735
HR,59,7,4,3,0,Neutral,1,,1,0.11864406779661017
HR,23,13,5,2,0,Unsatisfied,1,1.0,2,0.5652173913043478
HR,34,0,1,2,1,Unsatisfied,2,1.0,1,0.0
Marketing,49,4,4,3,0,Unsatisfied,1,1.0,3,0.08163265306122448
Software Engineer,39,11,4,2,0,Unsatisfied,3,2.0,2,0.28205128205128205
Data Scientist,26,13,3,3,0,Unsatisfied,5,1.0,2,0.5
Marketing,50,7,1,2,0,Satisfied,1,2.0,3,0.14
Sales,46,4,2,2,0,Satisfied,1,2.0,1,0.08695652173913043
Data Scientist,46,6,5,2,0,Satisfied,4,2.0,1,0.13043478260869565
Data Scientist,22,7,2,1,1,Neutral,2,1.0,1,0.3181818181818182
Project Manager,56,13,5,1,1,Unsatisfied,5,,1,0.23214285714285715
Designer,35,8,5,3,1,Satisfied,2,2.0,2,0.22857142857142856
Software Engineer,54,15,3,1,1,Satisfied,4,2.0,3,0.2777777777777778
Data Scientist,51,5,5,2,0,Neutral,3,2.0,1,0.09803921568627451
Sales,45,4,4,2,1,Neutral,5,1.0,3,0.08888888888888889
Sales,42,4,2,3,0,Unsatisfied,5,2.0,1,0.09523809523809523
Project Manager,55,9,3,1,1,Satisfied,4,2.0,3,0.16363636363636364
Sales,21,5,1,3,0,Satisfied,3,2.0,3,0.23809523809523808
Designer,41,15,5,1,0,Satisfied,4,2.0,2,0.36585365853658536
Marketing,49,13,5,3,1,Unsatisfied,2,2.0,2,0.2653061224489796
Designer,47,7,2,3,0,Neutral,2,,2,0.14893617021276595
HR,29,8,2,3,0,Satisfied,3,,2,0.27586206896551724
HR,20,5,3,1,1,Neutral,4,,3,0.25
Sales,20,5,5,2,1,Neutral,3,2.0,3,0.25
HR,25,15,3,2,0,Unsatisfied,1,,2,0.6
Data Scientist,23,10,5,3,1,Neutral,4,1.0,1,0.43478260869565216
HR,43,9,5,1,0,Satisfied,2,,2,0.20930232558139536
Designer,39,0,1,3,0,Neutral,4,,3,0.0
Sales,45,11,3,1,0,Unsatisfied,4,2.0,3,0.24444444444444444
Sales,20,15,1,2,0,Neutral,2,2.0,1,0.75
Project Manager,58,10,3,3,1,Unsatisfied,3,,2,0.1724137931034483
HR,45,0,5,3,0,Neutral,2,,1,0.0
Marketing,32,5,4,1,1,Neutral,1,2.0,2,0.15625
Data Scientist,45,15,4,3,0,Unsatisfied,2,1.0,2,0.3333333333333333
Software Engineer,35,11,1,2,0,Unsatisfied,5,,1,0.3142857142857143
Sales,22,15,5,3,0,Unsatisfied,5,2.0,2,0.6818181818181818
Data Scientist,21,12,2,1,0,Unsatisfied,2,1.0,2,0.5714285714285714
HR,23,1,1,1,1,Neutral,3,1.0,3,0.043478260869565216
Designer,39,0,5,2,0,Unsatisfied,1,,3,0.0
Marketing,43,3,3,1,1,Unsatisfied,5,,3,0.06976744186046512
Software Engineer,32,13,4,3,1,Neutral,5,,3,0.40625
Data Scientist,27,8,1,3,1,Neutral,5,2.0,3,0.2962962962962963
Marketing,45,3,4,1,0,Satisfied,5,1.0,1,0.06666666666666667
Designer,26,12,3,1,0,Satisfied,3,2.0,1,0.46153846153846156
Sales,28,1,3,3,0,Neutral,1,2.0,1,0.03571428571428571
HR,43,13,5,3,0,Satisfied,1,2.0,1,0.3023255813953488
Marketing,28,12,2,3,1,Unsatisfied,1,,3,0.42857142857142855
HR,37,0,3,3,1,Neutral,3,2.0,1,0.0
Designer,21,13,3,3,0,Satisfied,4,1.0,2,0.6190476190476191
Sales,38,1,5,1,0,Unsatisfied,1,1.0,1,0.02631578947368421
Software Engineer,28,5,3,3,1,Satisfied,4,2.0,3,0.17857142857142858
Data Scientist,33,0,2,2,0,Unsatisfied,3,,2,0.0
Marketing,25,4,4,3,1,Satisfied,3,,3,0.16
Marketing,44,9,1,1,0,Neutral,2,,3,0.20454545454545456
Marketing,49,15,5,1,1,Satisfied,3,,2,0.30612244897959184
Software Engineer,60,0,5,3,0,Satisfied,4,,2,0.0
Software Engineer,28,3,2,1,1,Satisfied,4,,1,0.10714285714285714
Data Scientist,41,5,3,2,1,Neutral,2,,2,0.12195121951219512
Software Engineer,51,13,1,1,0,Satisfied,1,1.0,3,0.2549019607843137
Data Scientist,52,9,5,1,0,Unsatisfied,5,,3,0.17307692307692307
Marketing,31,10,4,3,0,Unsatisfied,1,,2,0.3225806451612903
Project Manager,51,3,4,1,1,Neutral,4,,3,0.058823529411764705
HR,36,9,4,1,1,Neutral,3,1.0,2,0.25
Project Manager,59,10,3,3,1,Neutral,1,,3,0.1694915254237288
Sales,43,7,3,3,0,Neutral,3,1.0,1,0.16279069767441862
Designer,54,13,3,1,1,Neutral,1,,3,0.24074074074074073
Project Manager,43,7,2,2,1,Unsatisfied,4,,3,0.16279069767441862
Software Engineer,22,2,5,3,0,Satisfied,4,1.0,1,0.09090909090909091
Marketing,34,8,4,1,0,Satisfied,5,2.0,1,0.23529411764705882
Sales,23,5,3,3,0,Satisfied,4,,3,0.21739130434782608
Project Manager,27,3,4,3,0,Unsatisfied,1,2.0,2,0.1111111111111111
Project Manager,45,1,1,2,1,Neutral,3,1.0,3,0.022222222222222223
Marketing,42,7,2,1,1,Neutral,4,,1,0.16666666666666666
Marketing,40,7,4,3,0,Satisfied,5,2.0,2,0.175
Project Manager,46,6,4,2,0,Neutral,3,1.0,1,0.13043478260869565
Marketing,37,6,2,1,1,Unsatisfied,2,,3,0.16216216216216217
Marketing,36,9,4,2,0,Unsatisfied,2,1.0,3,0.25
Designer,35,6,2,1,0,Unsatisfied,3,2.0,3,0.17142857142857143
Data Scientist,24,4,3,2,0,Satisfied,1,,2,0.16666666666666666
HR,22,1,3,2,1,Satisfied,4,2.0,1,0.045454545454545456
HR,37,8,1,1,1,Satisfied,5,2.0,2,0.21621621621621623
Software Engineer,28,13,1,1,0,Neutral,1,,3,0.4642857142857143
Data Scientist,56,7,3,3,1,Neutral,5,1.0,1,0.125
Designer,36,9,3,3,0,Satisfied,1,2.0,2,0.25
Data Scientist,35,1,2,2,1,Satisfied,1,,2,0.02857142857142857
Designer,41,10,1,1,0,Unsatisfied,5,1.0,1,0.24390243902439024
Sales,40,13,1,1,1,Unsatisfied,4,,2,0.325
Marketing,37,10,1,2,1,Satisfied,5,2.0,3,0.2702702702702703
Designer,27,12,3,2,0,Neutral,1,2.0,1,0.4444444444444444
Project Manager,51,11,3,1,1,Neutral,2,1.0,1,0.21568627450980393
Sales,35,4,1,3,0,Satisfied,5,,2,0.11428571428571428
Marketing,46,7,5,2,0,Unsatisfied,1,,1,0.15217391304347827
Designer,50,7,2,1,0,Unsatisfied,5,,3,0.14
Data Scientist,26,2,1,1,1,Neutral,3,,3,0.07692307692307693
Project Manager,38,14,5,2,0,Unsatisfied,4,,1,0.3684210526315789
Project Manager,57,2,4,1,0,Satisfied,5,1.0,1,0.03508771929824561
Project Manager,26,15,4,2,0,Neutral,2,2.0,3,0.5769230769230769
Project Manager,41,11,1,1,1,Satisfied,4,1.0,2,0.2682926829268293
Project Manager,41,5,4,3,1,Satisfied,1,1.0,1,0.12195121951219512
Software Engineer,25,9,4,2,0,Satisfied,2,,3,0.36
Project Manager,56,10,4,2,0,Unsatisfied,3,1.0,1,0.17857142857142858
Software Engineer,43,8,2,2,0,Unsatisfied,3,,1,0.18604651162790697
HR,39,5,3,3,1,Satisfied,5,,1,0.1282051282051282
Designer,39,12,1,2,1,Unsatisfied,1,1.0,1,0.3076923076923077
Data Scientist,53,4,2,3,0,Neutral,3,2.0,1,0.07547169811320754
Data Scientist,27,6,2,2,1,Neutral,2,1.0,2,0.2222222222222222
Software Engineer,47,10,1,1,0,Neutral,2,2.0,1,0.2127659574468085
Marketing,29,14,4,3,1,Neutral,3,2.0,3,0.4827586206896552
Software Engineer,41,4,5,1,0,Satisfied,5,1.0,3,0.0975609756097561
Project Manager,22,7,1,1,1,Neutral,5,1.0,1,0.3181818181818182
Marketing,41,13,5,2,1,Satisfied,2,1.0,2,0.3170731707317073
Software Engineer,44,14,1,2,1,Unsatisfied,4,2.0,2,0.3181818181818182
Sales,57,14,3,1,0,Neutral,5,1.0,2,0.24561403508771928
HR,43,2,3,3,1,Neutral,3,2.0,2,0.046511627906976744
HR,43,11,2,1,1,Satisfied,1,1.0,1,0.2558139534883721
Software Engineer,20,4,1,3,0,Unsatisfied,3,2.0,1,0.2
Marketing,55,11,3,1,1,Unsatisfied,3,2.0,1,0.2
Project Manager,44,15,4,3,1,Unsatisfied,2,,2,0.3409090909090909
Designer,37,15,3,1,1,Neutral,4,1.0,1,0.40540540540540543
Marketing,59,5,2,3,0,Unsatisfied,1,2.0,1,0.0847457627118644
Software Engineer,43,11,3,1,1,Neutral,2,1.0,2,0.2558139534883721
Project Manager,57,2,3,2,0,Unsatisfied,5,1.0,2,0.03508771929824561
Project Manager,51,3,2,1,0,Unsatisfied,5,2.0,2,0.058823529411764705
Data Scientist,39,12,3,3,1,Unsatisfied,1,1.0,1,0.3076923076923077
HR,56,5,3,2,0,Satisfied,1,1.0,2,0.08928571428571429
Data Scientist,53,6,1,2,1,Satisfied,3,2.0,2,0.11320754716981132
Marketing,33,10,1,2,0,Satisfied,1,1.0,1,0.30303030303030304
HR,47,6,5,3,1,Satisfied,3,2.0,3,0.1276595744680851
Project Manager,42,2,3,2,1,Unsatisfied,5,,2,0.047619047619047616
HR,32,15,5,3,1,Satisfied,4,1.0,2,0.46875
Software Engineer,58,4,5,3,0,Neutral,3,2.0,1,0.06896551724137931
Designer,46,5,1,2,0,Satisfied,1,,1,0.10869565217391304
Data Scientist,29,7,3,2,1,Satisfied,1,2.0,1,0.2413793103448276
HR,39,6,1,2,1,Neutral,4,1.0,3,0.15384615384615385
Designer,24,8,4,1,1,Satisfied,5,,1,0.3333333333333333
HR,30,0,3,3,0,Satisfied,5,1.0,2,0.0
HR,37,8,2,3,1,Unsatisfied,3,,2,0.21621621621621623
Software Engineer,32,13,4,2,0,Unsatisfied,5,,3,0.40625
Software Engineer,49,12,4,3,0,Neutral,3,1.0,2,0.24489795918367346
Software Engineer,24,7,5,1,0,Neutral,2,2.0,1,0.2916666666666667
Designer,20,9,2,1,1,Satisfied,2,2.0,3,0.45
Software Engineer,41,4,3,1,0,Satisfied,5,1.0,1,0.0975609756097561
Software Engineer,27,0,5,3,1,Neutral,5,,1,0.0
Designer,43,12,2,3,0,Satisfied,5,2.0,2,0.27906976744186046
HR,34,8,3,2,0,Unsatisfied,1,,2,0.23529411764705882
Designer,20,8,5,1,1,Satisfied,2,2.0,1,0.4
Software Engineer,49,11,3,1,1,Unsatisfied,2,,3,0.22448979591836735
Software Engineer,39,1,3,1,1,Unsatisfied,2,2.0,1,0.02564102564102564
Software Engineer,56,15,3,2,1,Unsatisfied,3,2.0,2,0.26785714285714285
Marketing,55,12,4,1,0,Satisfied,3,1.0,2,0.21818181818181817
Marketing,59,15,4,3,0,Neutral,4,2.0,2,0.2542372881355932
Designer,33,6,5,1,1,Neutral,3,1.0,2,0.18181818181818182
Data Scientist,42,13,3,2,1,Satisfied,2,,3,0.30952380952380953
Data Scientist,22,4,1,1,0,Unsatisfied,2,2.0,3,0.18181818181818182
Data Scientist,42,11,1,1,0,Satisfied,1,1.0,3,0.2619047619047619
Data Scientist,31,14,3,1,0,Neutral,2,1.0,2,0.45161290322580644
HR,40,9,3,3,0,Unsatisfied,5,2.0,1,0.225
Software Engineer,20,5,4,3,1,Satisfied,1,,3,0.25
Software Engineer,28,1,3,3,0,Neutral,4,1.0,1,0.03571428571428571
Data Scientist,35,13,1,2,1,Neutral,1,2.0,3,0.37142857142857144
Marketing,60,11,1,3,0,Neutral,3,2.0,1,0.18333333333333332
Project Manager,58,7,3,3,0,Unsatisfied,4,,2,0.1206896551724138
Data Scientist,28,0,3,3,0,Neutral,3,2.0,2,0.0
Software Engineer,44,14,2,1,0,Unsatisfied,1,1.0,1,0.3181818181818182
Project Manager,50,4,5,2,1,Neutral,4,,2,0.08
Designer,60,1,4,2,1,Neutral,3,1.0,1,0.016666666666666666
Project Manager,53,5,5,3,0,Unsatisfied,3,1.0,3,0.09433962264150944
Software Engineer,36,7,4,1,1,Satisfied,2,1.0,2,0.19444444444444445
HR,24,0,3,3,1,Neutral,3,,2,0.0
HR,25,0,3,3,1,Unsatisfied,3,2.0,2,0.0
Designer,47,8,5,2,0,Neutral,2,1.0,2,0.1702127659574468
Marketing,50,10,4,1,1,Neutral,1,1.0,3,0.2
Project Manager,40,11,5,3,1,Neutral,5,2.0,1,0.275
Software Engineer,39,11,1,1,0,Neutral,4,,3,0.28205128205128205
Project Manager,54,12,4,3,1,Neutral,3,,1,0.2222222222222222
Software Engineer,44,9,3,3,1,Neutral,4,1.0,3,0.20454545454545456
Data Scientist,33,3,2,3,1,Neutral,5,,3,0.09090909090909091
Sales,25,8,5,3,1,Neutral,3,2.0,1,0.32
Software Engineer,33,8,2,3,0,Unsatisfied,4,2.0,1,0.24242424242424243
HR,31,7,3,1,1,Unsatisfied,4,,1,0.22580645161290322
Designer,36,1,3,1,1,Satisfied,1,1.0,2,0.027777777777777776
Sales,35,9,2,2,0,Satisfied,5,2.0,3,0.2571428571428571
Project Manager,24,12,2,1,1,Satisfied,2,2.0,1,0.5
Project Manager,50,7,3,3,1,Unsatisfied,5,1.0,1,0.14
Sales,30,11,3,3,0,Satisfied,5,2.0,2,0.36666666666666664
Marketing,38,3,3,3,0,Satisfied,4,,1,0.07894736842105263
Designer,40,5,1,1,0,Unsatisfied,5,1.0,1,0.125
Project Manager,40,9,3,2,1,Unsatisfied,1,1.0,2,0.225
Data Scientist,29,2,5,3,0,Neutral,2,,1,0.06896551724137931
Sales,42,11,1,3,1,Satisfied,4,1.0,2,0.2619047619047619
Sales,50,3,4,1,1,Neutral,2,,3,0.06
Software Engineer,23,13,4,1,0,Unsatisfied,3,2.0,2,0.5652173913043478
Data Scientist,31,10,3,3,0,Neutral,1,2.0,1,0.3225806451612903
Sales,44,9,4,1,1,Neutral,5,2.0,1,0.20454545454545456
Data Scientist,27,6,4,1,0,Satisfied,2,2.0,2,0.2222222222222222
Software Engineer,59,15,3,2,1,Satisfied,3,2.0,1,0.2542372881355932
Software Engineer,36,4,3,2,1,Unsatisfied,1,2.0,3,0.1111111111111111
Data Scientist,26,8,4,2,0,Unsatisfied,4,2.0,1,0.3076923076923077
Designer,32,9,3,1,1,Satisfied,1,1.0,2,0.28125
Marketing,23,11,4,1,1,Satisfied,3,,1,0.4782608695652174
Marketing,30,9,3,1,1,Satisfied,5,,2,0.3
Data Scientist,24,0,5,2,0,Unsatisfied,4,2.0,3,0.0
HR,37,6,5,1,0,Satisfied,4,,1,0.16216216216216217
Data Scientist,41,15,1,3,0,Unsatisfied,2,,1,0.36585365853658536
Marketing,42,9,2,2,1,Unsatisfied,5,2.0,3,0.21428571428571427
Project Manager,34,9,3,2,0,Neutral,5,2.0,2,0.2647058823529412
Sales,54,8,2,1,0,Neutral,5,2.0,3,0.14814814814814814
Sales,29,8,2,2,1,Satisfied,3,2.0,3,0.27586206896551724
HR,58,14,1,3,1,Unsatisfied,2,2.0,1,0.2413793103448276
Designer,57,6,5,3,1,Neutral,1,2.0,2,0.10526315789473684
Sales,39,3,3,1,0,Unsatisfied,4,1.0,3,0.07692307692307693
Data Scientist,50,5,1,1,0,Neutral,3,1.0,1,0.1
Designer,42,4,4,2,1,Neutral,5,2.0,3,0.09523809523809523
Marketing,35,2,1,1,1,Unsatisfied,4,2.0,2,0.05714285714285714
Designer,54,10,5,1,1,Satisfied,5,2.0,3,0.18518518518518517
Data Scientist,36,8,2,3,0,Neutral,3,,1,0.2222222222222222
Project Manager,26,12,4,3,1,Satisfied,5,,3,0.46153846153846156
Data Scientist,55,14,4,2,1,Neutral,4,2.0,3,0.2545454545454545
HR,23,8,1,3,0,Satisfied,3,2.0,2,0.34782608695652173
Sales,43,10,2,3,0,Neutral,1,2.0,2,0.23255813953488372
Software Engineer,44,13,3,2,1,Satisfied,5,2.0,1,0.29545454545454547
Software Engineer,36,9,5,1,0,Satisfied,2,,2,0.25
Marketing,59,15,1,2,0,Unsatisfied,4,,2,0.2542372881355932
Designer,24,2,2,2,1,Unsatisfied,5,1.0,1,0.08333333333333333
HR,40,6,2,3,1,Unsatisfied,5,,1,0.15
HR,30,0,1,3,1,Unsatisfied,3,,1,0.0
Sales,51,9,1,3,1,Neutral,5,1.0,2,0.17647058823529413
HR,37,10,5,3,0,Satisfied,4,1.0,1,0.2702702702702703
Project Manager,54,11,4,1,0,Unsatisfied,5,1.0,2,0.2037037037037037
Designer,27,4,1,3,0,Neutral,4,,2,0.14814814814814814
Software Engineer,35,13,1,2,1,Satisfied,3,,3,0.37142857142857144
HR,58,15,1,2,0,Neutral,5,1.0,2,0.25862068965517243
Data Scientist,22,0,1,3,0,Neutral,3,1.0,1,0.0
Project Manager,59,9,5,2,0,Unsatisfied,3,2.0,3,0.15254237288135594
Marketing,22,8,3,1,1,Neutral,3,1.0,1,0.36363636363636365
Marketing,43,12,2,3,1,Neutral,2,,2,0.27906976744186046
Sales,57,0,5,3,1,Neutral,5,,2,0.0
Project Manager,56,1,4,1,0,Satisfied,5,,3,0.017857142857142856
Sales,45,4,5,2,0,Neutral,3,,1,0.08888888888888889
Marketing,40,6,3,3,0,Satisfied,3,,1,0.15
HR,56,11,1,1,1,Neutral,4,,2,0.19642857142857142
Software Engineer,45,7,1,2,1,Unsatisfied,3,,1,0.15555555555555556
Sales,35,12,5,1,0,Satisfied,1,,2,0.34285714285714286
Marketing,47,9,3,3,0,Neutral,4,,2,0.19148936170212766
HR,59,7,1,3,1,Satisfied,4,1.0,1,0.11864406779661017
Project Manager,27,0,2,1,1,Neutral,3,,2,0.0
Designer,22,2,5,3,0,Neutral,5,,1,0.09090909090909091
Data Scientist,23,13,3,2,0,Neutral,4,,1,0.5652173913043478
Project Manager,60,5,4,2,0,Neutral,3,,1,0.08333333333333333
HR,40,14,5,3,0,Unsatisfied,2,2.0,2,0.35
Software Engineer,60,1,2,2,0,Satisfied,4,2.0,3,0.016666666666666666
HR,41,5,3,1,0,Satisfied,1,1.0,3,0.12195121951219512
Designer,41,7,4,3,1,Satisfied,4,,2,0.17073170731707318
Project Manager,26,13,5,1,1,Unsatisfied,5,2.0,3,0.5
HR,50,2,1,3,0,Satisfied,5,1.0,3,0.04
Designer,26,2,4,3,1,Unsatisfied,3,,3,0.07692307692307693
HR,29,12,5,1,0,Satisfied,5,2.0,2,0.41379310344827586
Designer,28,4,1,2,1,Satisfied,4,2.0,3,0.14285714285714285
Sales,22,8,3,3,1,Neutral,5,1.0,3,0.36363636363636365
Data Scientist,52,12,5,1,1,Unsatisfied,4,1.0,1,0.23076923076923078
HR,51,0,2,3,0,Neutral,3,1.0,3,0.0
Project Manager,24,2,2,3,1,Neutral,4,,1,0.08333333333333333
Project Manager,41,6,2,1,0,Unsatisfied,4,1.0,3,0.14634146341463414
Software Engineer,37,11,4,2,1,Unsatisfied,3,,3,0.2972972972972973
Designer,53,1,4,2,0,Unsatisfied,5,,1,0.018867924528301886
Designer,29,6,4,2,1,Neutral,2,,2,0.20689655172413793
HR,49,9,2,3,1,Satisfied,5,1.0,3,0.1836734693877551
Data Scientist,54,15,5,1,1,Unsatisfied,3,,3,0.2777777777777778
Project Manager,21,1,4,1,0,Neutral,5,,3,0.047619047619047616
Sales,20,2,3,3,1,Satisfied,2,,1,0.1
Data Scientist,25,2,4,2,0,Neutral,2,,3,0.08
Marketing,24,2,5,1,1,Unsatisfied,3,,3,0.08333333333333333
Software Engineer,51,2,4,1,1,Satisfied,4,,3,0.0392156862745098
Marketing,59,11,3,1,1,Unsatisfied,3,1.0,1,0.1864406779661017
HR,21,5,3,2,0,Unsatisfied,4,1.0,3,0.23809523809523808
Designer,34,3,3,1,1,Unsatisfied,3,1.0,3,0.08823529411764706
Project Manager,46,9,4,2,0,Satisfied,3,2.0,1,0.1956521739130435
Software Engineer,32,4,3,2,0,Unsatisfied,3,2.0,2,0.125
HR,25,12,3,2,1,Satisfied,2,,2,0.48
Data Scientist,51,10,1,3,1,Neutral,1,2.0,3,0.19607843137254902
HR,31,6,1,3,1,Neutral,4,1.0,1,0.1935483870967742
Sales,41,11,5,3,1,Satisfied,5,2.0,1,0.2682926829268293
Designer,54,8,3,1,1,Satisfied,5,2.0,2,0.14814814814814814
Project Manager,53,5,1,3,1,Neutral,1,2.0,1,0.09433962264150944
Software Engineer,60,15,1,1,0,Neutral,4,1.0,3,0.25
Software Engineer,47,13,5,1,0,Neutral,3,1.0,1,0.2765957446808511
Designer,55,9,3,2,1,Unsatisfied,2,2.0,2,0.16363636363636364
Data Scientist,37,3,2,1,1,Neutral,3,,3,0.08108108108108109
Marketing,42,14,1,3,1,Unsatisfied,4,,2,0.3333333333333333
HR,40,3,1,1,1,Neutral,3,1.0,2,0.075
Marketing,21,6,4,1,0,Neutral,1,2.0,3,0.2857142857142857
Software Engineer,38,8,5,1,1,Neutral,3,2.0,3,0.21052631578947367
HR,20,0,3,3,0,Neutral,2,2.0,3,0.0
Data Scientist,44,6,3,3,0,Satisfied,4,1.0,2,0.13636363636363635
Software Engineer,24,9,4,2,1,Neutral,5,2.0,2,0.375
Designer,48,14,1,2,1,Neutral,2,1.0,3,0.2916666666666667
HR,60,6,3,1,0,Unsatisfied,5,1.0,1,0.1
Software Engineer,26,3,3,1,0,Unsatisfied,3,,3,0.11538461538461539
Project Manager,24,13,3,3,0,Neutral,3,2.0,2,0.5416666666666666
Designer,41,14,3,1,0,Satisfied,3,1.0,2,0.34146341463414637
HR,27,6,2,2,0,Satisfied,5,2.0,3,0.2222222222222222
Designer,38,4,4,1,1,Unsatisfied,1,2.0,3,0.10526315789473684
Project Manager,41,14,4,1,1,Satisfied,3,2.0,2,0.34146341463414637
Designer,20,9,4,3,1,Neutral,2,2.0,3,0.45
Software Engineer,22,4,3,2,1,Neutral,2,1.0,1,0.18181818181818182
