Employee_ID,Job_Role,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Access_to_Mental_Health_Resources,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality
EMP1280,Software Engineer,32,1,1,1,0,Satisfied,4,1.0,2
EMP1281,Data Scientist,25,15,1,2,1,Neutral,2,2.0,3
EMP1282,Marketing,22,7,2,1,0,Neutral,5,2.0,2
EMP1283,Software Engineer,59,15,2,1,0,Satisfied,2,2.0,3
EMP1284,Software Engineer,22,6,3,1,0,Unsatisfied,2,2.0,2
EMP1285,Project Manager,46,8,3,2,0,Satisfied,5,2.0,1
EMP1286,Marketing,43,0,1,3,1,Unsatisfied,2,1.0,3
EMP1287,Marketing,48,6,4,3,0,Unsatisfied,4,2.0,1
EMP1288,Project Manager,39,15,4,3,0,Unsatisfied,3,,2
EMP1289,Project Manager,49,15,1,3,0,Neutral,1,,2
EMP1290,Marketing,38,11,4,1,1,Unsatisfied,2,2.0,3
EMP1291,Data Scientist,32,10,2,1,0,Satisfied,4,1.0,2
EMP1292,Designer,47,7,4,3,1,Neutral,2,1.0,1
EMP1293,HR,39,3,1,1,0,Satisfied,2,,3
EMP1294,Data Scientist,47,9,3,2,0,Satisfied,2,,2
EMP1295,Designer,53,6,4,1,0,Unsatisfied,3,,3
EMP1296,Designer,49,2,2,1,0,Unsatisfied,1,1.0,1
EMP1297,Sales,47,9,2,3,0,Unsatisfied,2,,3
EMP1298,Data Scientist,25,13,3,1,0,Neutral,4,2.0,2
EMP1299,Data Scientist,55,7,2,3,0,Neutral,3,,3
EMP1300,Sales,35,4,3,1,0,Satisfied,5,2.0,3
EMP1301,Data Scientist,57,2,4,3,1,Satisfied,5,2.0,1
EMP1302,Project Manager,58,13,4,2,0,Satisfied,3,1.0,3
EMP1303,Sales,44,12,1,1,1,Unsatisfied,5,2.0,2
EMP1304,Data Scientist,28,4,2,2,0,Satisfied,1,,1
EMP1305,Designer,25,6,1,1,0,Unsatisfied,5,1.0,2
EMP1306,Data Scientist,58,15,3,1,1,Unsatisfied,2,,1
EMP1307,Designer,44,11,1,3,0,Unsatisfied,2,1.0,2
EMP1308,Designer,25,1,3,3,1,Unsatisfied,2,1.0,1
EMP1309,Project Manager,48,0,2,3,1,Unsatisfied,1,,3
EMP1310,Marketing,34,4,4,1,1,Neutral,3,1.0,2
EMP1311,HR,38,1,1,2,0,Satisfied,4,,2
EMP1312,Designer,37,14,2,1,1,Unsatisfied,3,,2
EMP1313,Marketing,22,5,4,3,1,Neutral,2,1.0,3
EMP1314,HR,22,3,2,1,1,Satisfied,4,2.0,2
EMP1315,Marketing,52,3,5,1,0,Neutral,3,2.0,1
EMP1316,Designer,28,3,3,1,1,Unsatisfied,5,2.0,2
EMP1317,Data Scientist,43,3,1,2,1,Satisfied,5,,2
EMP1318,Sales,41,8,3,1,1,Unsatisfied,2,2.0,2
EMP1319,Marketing,48,3,3,3,0,Satisfied,2,,1
EMP1320,Software Engineer,30,9,2,1,1,Satisfied,2,1.0,3
EMP1321,Data Scientist,29,1,1,2,0,Neutral,1,2.0,2
EMP1322,Project Manager,31,0,3,3,0,Neutral,3,,2
EMP1323,HR,43,4,5,2,1,Neutral,4,2.0,1
EMP1324,Marketing,56,2,2,2,1,Unsatisfied,4,1.0,1
EMP1325,Data Scientist,58,9,2,3,1,Unsatisfied,4,2.0,3
EMP1326,Marketing,53,7,4,3,1,Neutral,3,,3
EMP1327,Marketing,36,3,5,2,0,Neutral,2,1.0,1
EMP1328,Marketing,40,9,2,2,0,Unsatisfied,2,2.0,2
EMP1329,Software Engineer,60,8,1,3,1,Neutral,4,,1
EMP1330,Marketing,44,2,5,2,0,Neutral,4,2.0,2
EMP1331,Software Engineer,33,15,4,1,0,Satisfied,4,,3
EMP1332,Data Scientist,50,7,5,1,1,Unsatisfied,2,2.0,3
EMP1333,Data Scientist,38,10,5,3,1,Unsatisfied,1,,3
EMP1334,Project Manager,51,14,3,2,1,Neutral,1,2.0,1
EMP1335,Designer,59,6,2,1,0,Neutral,4,,3
EMP1336,Project Manager,54,0,4,2,1,Neutral,4,2.0,2
EMP1337,Project Manager,34,8,3,3,1,Satisfied,3,2.0,3
EMP1338,Designer,37,3,2,1,0,Satisfied,5,1.0,3
EMP1339,Designer,24,5,3,3,1,Unsatisfied,4,,2
EMP1340,Project Manager,60,0,2,2,1,Satisfied,2,1.0,2
EMP1341,HR,34,5,2,1,0,Unsatisfied,1,,2
EMP1342,HR,25,0,3,3,0,Satisfied,1,1.0,3
EMP1343,Software Engineer,41,13,3,1,0,Neutral,3,1.0,2
EMP1344,Project Manager,54,15,2,3,0,Neutral,2,,2
EMP1345,Designer,39,2,1,1,1,Unsatisfied,3,1.0,1
EMP1346,Sales,52,15,2,3,0,Neutral,4,2.0,3
EMP1347,Software Engineer,54,5,1,3,0,Satisfied,2,1.0,2
EMP1348,Project Manager,22,15,5,2,1,Satisfied,3,,1
EMP1349,Marketing,43,11,4,1,1,Satisfied,5,2.0,3
EMP1350,HR,35,14,5,3,1,Neutral,1,,2
EMP1351,Software Engineer,26,0,1,1,0,Satisfied,3,1.0,2
EMP1352,HR,32,13,4,1,0,Unsatisfied,4,1.0,2
EMP1353,Project Manager,53,9,3,2,0,Unsatisfied,2,2.0,2
EMP1354,Data Scientist,32,15,3,3,1,Unsatisfied,5,,2
EMP1355,Data Scientist,35,1,5,3,1,Unsatisfied,5,2.0,2
EMP1356,Software Engineer,44,6,5,3,0,Neutral,3,2.0,1
EMP1357,Software Engineer,24,5,3,3,1,Unsatisfied,4,1.0,2
EMP1358,Sales,47,14,5,3,0,Neutral,1,,1
EMP1359,Project Manager,32,1,5,1,1,Unsatisfied,1,1.0,2
EMP1360,HR,32,0,2,2,0,Neutral,4,2.0,3
EMP1361,HR,39,4,1,1,0,Neutral,3,2.0,3
EMP1362,Data Scientist,49,11,2,2,1,Satisfied,3,2.0,3
EMP1363,HR,59,7,4,3,0,Neutral,1,,1
EMP1364,HR,23,13,5,2,0,Unsatisfied,1,1.0,2
EMP1365,HR,34,0,1,2,1,Unsatisfied,2,1.0,1
EMP1366,Marketing,49,4,4,3,0,Unsatisfied,1,1.0,3
EMP1367,Software Engineer,39,11,4,2,0,Unsatisfied,3,2.0,2
EMP1368,Data Scientist,26,13,3,3,0,Unsatisfied,5,1.0,2
EMP1369,Marketing,50,7,1,2,0,Satisfied,1,2.0,3
EMP1370,Sales,46,4,2,2,0,Satisfied,1,2.0,1
EMP1371,Data Scientist,46,6,5,2,0,Satisfied,4,2.0,1
EMP1372,Data Scientist,22,7,2,1,1,Neutral,2,1.0,1
EMP1373,Project Manager,56,13,5,1,1,Unsatisfied,5,,1
EMP1374,Designer,35,8,5,3,1,Satisfied,2,2.0,2
EMP1375,Software Engineer,54,15,3,1,1,Satisfied,4,2.0,3
EMP1376,Data Scientist,51,5,5,2,0,Neutral,3,2.0,1
EMP1377,Sales,45,4,4,2,1,Neutral,5,1.0,3
EMP1378,Sales,42,4,2,3,0,Unsatisfied,5,2.0,1
EMP1379,Project Manager,55,9,3,1,1,Satisfied,4,2.0,3
EMP1380,Sales,21,5,1,3,0,Satisfied,3,2.0,3
EMP1381,Designer,41,15,5,1,0,Satisfied,4,2.0,2
EMP1382,Marketing,49,13,5,3,1,Unsatisfied,2,2.0,2
EMP1383,Designer,47,7,2,3,0,Neutral,2,,2
EMP1384,HR,29,8,2,3,0,Satisfied,3,,2
EMP1385,HR,20,5,3,1,1,Neutral,4,,3
EMP1386,Sales,20,5,5,2,1,Neutral,3,2.0,3
EMP1387,HR,25,15,3,2,0,Unsatisfied,1,,2
EMP1388,Data Scientist,23,10,5,3,1,Neutral,4,1.0,1
EMP1389,HR,43,9,5,1,0,Satisfied,2,,2
EMP1390,Designer,39,0,1,3,0,Neutral,4,,3
EMP1391,Sales,45,11,3,1,0,Unsatisfied,4,2.0,3
EMP1392,Sales,20,15,1,2,0,Neutral,2,2.0,1
EMP1393,Project Manager,58,10,3,3,1,Unsatisfied,3,,2
EMP1394,HR,45,0,5,3,0,Neutral,2,,1
EMP1395,Marketing,32,5,4,1,1,Neutral,1,2.0,2
EMP1396,Data Scientist,45,15,4,3,0,Unsatisfied,2,1.0,2
EMP1397,Software Engineer,35,11,1,2,0,Unsatisfied,5,,1
EMP1398,Sales,22,15,5,3,0,Unsatisfied,5,2.0,2
EMP1399,Data Scientist,21,12,2,1,0,Unsatisfied,2,1.0,2
EMP1400,HR,23,1,1,1,1,Neutral,3,1.0,3
EMP1401,Designer,39,0,5,2,0,Unsatisfied,1,,3
EMP1402,Marketing,43,3,3,1,1,Unsatisfied,5,,3
EMP1403,Software Engineer,32,13,4,3,1,Neutral,5,,3
EMP1404,Data Scientist,27,8,1,3,1,Neutral,5,2.0,3
EMP1405,Marketing,45,3,4,1,0,Satisfied,5,1.0,1
EMP1406,Designer,26,12,3,1,0,Satisfied,3,2.0,1
EMP1407,Sales,28,1,3,3,0,Neutral,1,2.0,1
EMP1408,HR,43,13,5,3,0,Satisfied,1,2.0,1
EMP1409,Marketing,28,12,2,3,1,Unsatisfied,1,,3
EMP1410,HR,37,0,3,3,1,Neutral,3,2.0,1
EMP1411,Designer,21,13,3,3,0,Satisfied,4,1.0,2
EMP1412,Sales,38,1,5,1,0,Unsatisfied,1,1.0,1
EMP1413,Software Engineer,28,5,3,3,1,Satisfied,4,2.0,3
EMP1414,Data Scientist,33,0,2,2,0,Unsatisfied,3,,2
EMP1415,Marketing,25,4,4,3,1,Satisfied,3,,3
EMP1416,Marketing,44,9,1,1,0,Neutral,2,,3
EMP1417,Marketing,49,15,5,1,1,Satisfied,3,,2
EMP1418,Software Engineer,60,0,5,3,0,Satisfied,4,,2
EMP1419,Software Engineer,28,3,2,1,1,Satisfied,4,,1
EMP1420,Data Scientist,41,5,3,2,1,Neutral,2,,2
EMP1421,Software Engineer,51,13,1,1,0,Satisfied,1,1.0,3
EMP1422,Data Scientist,52,9,5,1,0,Unsatisfied,5,,3
EMP1423,Marketing,31,10,4,3,0,Unsatisfied,1,,2
EMP1424,Project Manager,51,3,4,1,1,Neutral,4,,3
EMP1425,HR,36,9,4,1,1,Neutral,3,1.0,2
EMP1426,Project Manager,59,10,3,3,1,Neutral,1,,3
EMP1427,Sales,43,7,3,3,0,Neutral,3,1.0,1
EMP1428,Designer,54,13,3,1,1,Neutral,1,,3
EMP1429,Project Manager,43,7,2,2,1,Unsatisfied,4,,3
EMP1430,Software Engineer,22,2,5,3,0,Satisfied,4,1.0,1
EMP1431,Marketing,34,8,4,1,0,Satisfied,5,2.0,1
EMP1432,Sales,23,5,3,3,0,Satisfied,4,,3
EMP1433,Project Manager,27,3,4,3,0,Unsatisfied,1,2.0,2
EMP1434,Project Manager,45,1,1,2,1,Neutral,3,1.0,3
EMP1435,Marketing,42,7,2,1,1,Neutral,4,,1
EMP1436,Marketing,40,7,4,3,0,Satisfied,5,2.0,2
EMP1437,Project Manager,46,6,4,2,0,Neutral,3,1.0,1
EMP1438,Marketing,37,6,2,1,1,Unsatisfied,2,,3
EMP1439,Marketing,36,9,4,2,0,Unsatisfied,2,1.0,3
EMP1440,Designer,35,6,2,1,0,Unsatisfied,3,2.0,3
EMP1441,Data Scientist,24,4,3,2,0,Satisfied,1,,2
EMP1442,HR,22,1,3,2,1,Satisfied,4,2.0,1
EMP1443,HR,37,8,1,1,1,Satisfied,5,2.0,2
EMP1444,Software Engineer,28,13,1,1,0,Neutral,1,,3
EMP1445,Data Scientist,56,7,3,3,1,Neutral,5,1.0,1
EMP1446,Designer,36,9,3,3,0,Satisfied,1,2.0,2
EMP1447,Data Scientist,35,1,2,2,1,Satisfied,1,,2
EMP1448,Designer,41,10,1,1,0,Unsatisfied,5,1.0,1
EMP1449,Sales,40,13,1,1,1,Unsatisfied,4,,2
EMP1450,Marketing,37,10,1,2,1,Satisfied,5,2.0,3
EMP1451,Designer,27,12,3,2,0,Neutral,1,2.0,1
EMP1452,Project Manager,51,11,3,1,1,Neutral,2,1.0,1
EMP1453,Sales,35,4,1,3,0,Satisfied,5,,2
EMP1454,Marketing,46,7,5,2,0,Unsatisfied,1,,1
EMP1455,Designer,50,7,2,1,0,Unsatisfied,5,,3
EMP1456,Data Scientist,26,2,1,1,1,Neutral,3,,3
EMP1457,Project Manager,38,14,5,2,0,Unsatisfied,4,,1
EMP1458,Project Manager,57,2,4,1,0,Satisfied,5,1.0,1
EMP1459,Project Manager,26,15,4,2,0,Neutral,2,2.0,3
EMP1460,Project Manager,41,11,1,1,1,Satisfied,4,1.0,2
EMP1461,Project Manager,41,5,4,3,1,Satisfied,1,1.0,1
EMP1462,Software Engineer,25,9,4,2,0,Satisfied,2,,3
EMP1463,Project Manager,56,10,4,2,0,Unsatisfied,3,1.0,1
EMP1464,Software Engineer,43,8,2,2,0,Unsatisfied,3,,1
EMP1465,HR,39,5,3,3,1,Satisfied,5,,1
EMP1466,Designer,39,12,1,2,1,Unsatisfied,1,1.0,1
EMP1467,Data Scientist,53,4,2,3,0,Neutral,3,2.0,1
EMP1468,Data Scientist,27,6,2,2,1,Neutral,2,1.0,2
EMP1469,Software Engineer,47,10,1,1,0,Neutral,2,2.0,1
EMP1470,Marketing,29,14,4,3,1,Neutral,3,2.0,3
EMP1471,Software Engineer,41,4,5,1,0,Satisfied,5,1.0,3
EMP1472,Project Manager,22,7,1,1,1,Neutral,5,1.0,1
EMP1473,Marketing,41,13,5,2,1,Satisfied,2,1.0,2
EMP1474,Software Engineer,44,14,1,2,1,Unsatisfied,4,2.0,2
EMP1475,Sales,57,14,3,1,0,Neutral,5,1.0,2
EMP1476,HR,43,2,3,3,1,Neutral,3,2.0,2
EMP1477,HR,43,11,2,1,1,Satisfied,1,1.0,1
EMP1478,Software Engineer,20,4,1,3,0,Unsatisfied,3,2.0,1
EMP1479,Marketing,55,11,3,1,1,Unsatisfied,3,2.0,1
EMP1480,Project Manager,44,15,4,3,1,Unsatisfied,2,,2
EMP1481,Designer,37,15,3,1,1,Neutral,4,1.0,1
EMP1482,Marketing,59,5,2,3,0,Unsatisfied,1,2.0,1
EMP1483,Software Engineer,43,11,3,1,1,Neutral,2,1.0,2
EMP1484,Project Manager,57,2,3,2,0,Unsatisfied,5,1.0,2
EMP1485,Project Manager,51,3,2,1,0,Unsatisfied,5,2.0,2
EMP1486,Data Scientist,39,12,3,3,1,Unsatisfied,1,1.0,1
EMP1487,HR,56,5,3,2,0,Satisfied,1,1.0,2
EMP1488,Data Scientist,53,6,1,2,1,Satisfied,3,2.0,2
EMP1489,Marketing,33,10,1,2,0,Satisfied,1,1.0,1
EMP1490,HR,47,6,5,3,1,Satisfied,3,2.0,3
EMP1491,Project Manager,42,2,3,2,1,Unsatisfied,5,,2
EMP1492,HR,32,15,5,3,1,Satisfied,4,1.0,2
EMP1493,Software Engineer,58,4,5,3,0,Neutral,3,2.0,1
EMP1494,Designer,46,5,1,2,0,Satisfied,1,,1
EMP1495,Data Scientist,29,7,3,2,1,Satisfied,1,2.0,1
EMP1496,HR,39,6,1,2,1,Neutral,4,1.0,3
EMP1497,Designer,24,8,4,1,1,Satisfied,5,,1
EMP1498,HR,30,0,3,3,0,Satisfied,5,1.0,2
EMP1499,HR,37,8,2,3,1,Unsatisfied,3,,2
EMP1500,Software Engineer,32,13,4,2,0,Unsatisfied,5,,3
EMP1501,Software Engineer,49,12,4,3,0,Neutral,3,1.0,2
EMP1502,Software Engineer,24,7,5,1,0,Neutral,2,2.0,1
EMP1503,Designer,20,9,2,1,1,Satisfied,2,2.0,3
EMP1504,Software Engineer,41,4,3,1,0,Satisfied,5,1.0,1
EMP1505,Software Engineer,27,0,5,3,1,Neutral,5,,1
EMP1506,Designer,43,12,2,3,0,Satisfied,5,2.0,2
EMP1507,HR,34,8,3,2,0,Unsatisfied,1,,2
EMP1508,Designer,20,8,5,1,1,Satisfied,2,2.0,1
EMP1509,Software Engineer,49,11,3,1,1,Unsatisfied,2,,3
EMP1510,Software Engineer,39,1,3,1,1,Unsatisfied,2,2.0,1
EMP1511,Software Engineer,56,15,3,2,1,Unsatisfied,3,2.0,2
EMP1512,Marketing,55,12,4,1,0,Satisfied,3,1.0,2
EMP1513,Marketing,59,15,4,3,0,Neutral,4,2.0,2
EMP1514,Designer,33,6,5,1,1,Neutral,3,1.0,2
EMP1515,Data Scientist,42,13,3,2,1,Satisfied,2,,3
EMP1516,Data Scientist,22,4,1,1,0,Unsatisfied,2,2.0,3
EMP1517,Data Scientist,42,11,1,1,0,Satisfied,1,1.0,3
EMP1518,Data Scientist,31,14,3,1,0,Neutral,2,1.0,2
EMP1519,HR,40,9,3,3,0,Unsatisfied,5,2.0,1
EMP1520,Software Engineer,20,5,4,3,1,Satisfied,1,,3
EMP1521,Software Engineer,28,1,3,3,0,Neutral,4,1.0,1
EMP1522,Data Scientist,35,13,1,2,1,Neutral,1,2.0,3
EMP1523,Marketing,60,11,1,3,0,Neutral,3,2.0,1
EMP1524,Project Manager,58,7,3,3,0,Unsatisfied,4,,2
EMP1525,Data Scientist,28,0,3,3,0,Neutral,3,2.0,2
EMP1526,Software Engineer,44,14,2,1,0,Unsatisfied,1,1.0,1
EMP1527,Project Manager,50,4,5,2,1,Neutral,4,,2
EMP1528,Designer,60,1,4,2,1,Neutral,3,1.0,1
EMP1529,Project Manager,53,5,5,3,0,Unsatisfied,3,1.0,3
EMP1530,Software Engineer,36,7,4,1,1,Satisfied,2,1.0,2
EMP1531,HR,24,0,3,3,1,Neutral,3,,2
EMP1532,HR,25,0,3,3,1,Unsatisfied,3,2.0,2
EMP1533,Designer,47,8,5,2,0,Neutral,2,1.0,2
EMP1534,Marketing,50,10,4,1,1,Neutral,1,1.0,3
EMP1535,Project Manager,40,11,5,3,1,Neutral,5,2.0,1
EMP1536,Software Engineer,39,11,1,1,0,Neutral,4,,3
EMP1537,Project Manager,54,12,4,3,1,Neutral,3,,1
EMP1538,Software Engineer,44,9,3,3,1,Neutral,4,1.0,3
EMP1539,Data Scientist,33,3,2,3,1,Neutral,5,,3
EMP1540,Sales,25,8,5,3,1,Neutral,3,2.0,1
EMP1541,Software Engineer,33,8,2,3,0,Unsatisfied,4,2.0,1
EMP1542,HR,31,7,3,1,1,Unsatisfied,4,,1
EMP1543,Designer,36,1,3,1,1,Satisfied,1,1.0,2
EMP1544,Sales,35,9,2,2,0,Satisfied,5,2.0,3
EMP1545,Project Manager,24,12,2,1,1,Satisfied,2,2.0,1
EMP1546,Project Manager,50,7,3,3,1,Unsatisfied,5,1.0,1
EMP1547,Sales,30,11,3,3,0,Satisfied,5,2.0,2
EMP1548,Marketing,38,3,3,3,0,Satisfied,4,,1
EMP1549,Designer,40,5,1,1,0,Unsatisfied,5,1.0,1
EMP1550,Project Manager,40,9,3,2,1,Unsatisfied,1,1.0,2
EMP1551,Data Scientist,29,2,5,3,0,Neutral,2,,1
EMP1552,Sales,42,11,1,3,1,Satisfied,4,1.0,2
EMP1553,Sales,50,3,4,1,1,Neutral,2,,3
EMP1554,Software Engineer,23,13,4,1,0,Unsatisfied,3,2.0,2
EMP1555,Data Scientist,31,10,3,3,0,Neutral,1,2.0,1
EMP1556,Sales,44,9,4,1,1,Neutral,5,2.0,1
EMP1557,Data Scientist,27,6,4,1,0,Satisfied,2,2.0,2
EMP1558,Software Engineer,59,15,3,2,1,Satisfied,3,2.0,1
EMP1559,Software Engineer,36,4,3,2,1,Unsatisfied,1,2.0,3
EMP1560,Data Scientist,26,8,4,2,0,Unsatisfied,4,2.0,1
EMP1561,Designer,32,9,3,1,1,Satisfied,1,1.0,2
EMP1562,Marketing,23,11,4,1,1,Satisfied,3,,1
EMP1563,Marketing,30,9,3,1,1,Satisfied,5,,2
EMP1564,Data Scientist,24,0,5,2,0,Unsatisfied,4,2.0,3
EMP1565,HR,37,6,5,1,0,Satisfied,4,,1
EMP1566,Data Scientist,41,15,1,3,0,Unsatisfied,2,,1
EMP1567,Marketing,42,9,2,2,1,Unsatisfied,5,2.0,3
EMP1568,Project Manager,34,9,3,2,0,Neutral,5,2.0,2
EMP1569,Sales,54,8,2,1,0,Neutral,5,2.0,3
EMP1570,Sales,29,8,2,2,1,Satisfied,3,2.0,3
EMP1571,HR,58,14,1,3,1,Unsatisfied,2,2.0,1
EMP1572,Designer,57,6,5,3,1,Neutral,1,2.0,2
EMP1573,Sales,39,3,3,1,0,Unsatisfied,4,1.0,3
EMP1574,Data Scientist,50,5,1,1,0,Neutral,3,1.0,1
EMP1575,Designer,42,4,4,2,1,Neutral,5,2.0,3
EMP1576,Marketing,35,2,1,1,1,Unsatisfied,4,2.0,2
EMP1577,Designer,54,10,5,1,1,Satisfied,5,2.0,3
EMP1578,Data Scientist,36,8,2,3,0,Neutral,3,,1
EMP1579,Project Manager,26,12,4,3,1,Satisfied,5,,3
EMP1580,Data Scientist,55,14,4,2,1,Neutral,4,2.0,3
EMP1581,HR,23,8,1,3,0,Satisfied,3,2.0,2
EMP1582,Sales,43,10,2,3,0,Neutral,1,2.0,2
EMP1583,Software Engineer,44,13,3,2,1,Satisfied,5,2.0,1
EMP1584,Software Engineer,36,9,5,1,0,Satisfied,2,,2
EMP1585,Marketing,59,15,1,2,0,Unsatisfied,4,,2
EMP1586,Designer,24,2,2,2,1,Unsatisfied,5,1.0,1
EMP1587,HR,40,6,2,3,1,Unsatisfied,5,,1
EMP1588,HR,30,0,1,3,1,Unsatisfied,3,,1
EMP1589,Sales,51,9,1,3,1,Neutral,5,1.0,2
EMP1590,HR,37,10,5,3,0,Satisfied,4,1.0,1
EMP1591,Project Manager,54,11,4,1,0,Unsatisfied,5,1.0,2
EMP1592,Designer,27,4,1,3,0,Neutral,4,,2
EMP1593,Software Engineer,35,13,1,2,1,Satisfied,3,,3
EMP1594,HR,58,15,1,2,0,Neutral,5,1.0,2
EMP1595,Data Scientist,22,0,1,3,0,Neutral,3,1.0,1
EMP1596,Project Manager,59,9,5,2,0,Unsatisfied,3,2.0,3
EMP1597,Marketing,22,8,3,1,1,Neutral,3,1.0,1
EMP1598,Marketing,43,12,2,3,1,Neutral,2,,2
EMP1599,Sales,57,0,5,3,1,Neutral,5,,2
EMP1600,Project Manager,56,1,4,1,0,Satisfied,5,,3
EMP1601,Sales,45,4,5,2,0,Neutral,3,,1
EMP1602,Marketing,40,6,3,3,0,Satisfied,3,,1
EMP1603,HR,56,11,1,1,1,Neutral,4,,2
EMP1604,Software Engineer,45,7,1,2,1,Unsatisfied,3,,1
EMP1605,Sales,35,12,5,1,0,Satisfied,1,,2
EMP1606,Marketing,47,9,3,3,0,Neutral,4,,2
EMP1607,HR,59,7,1,3,1,Satisfied,4,1.0,1
EMP1608,Project Manager,27,0,2,1,1,Neutral,3,,2
EMP1609,Designer,22,2,5,3,0,Neutral,5,,1
EMP1610,Data Scientist,23,13,3,2,0,Neutral,4,,1
EMP1611,Project Manager,60,5,4,2,0,Neutral,3,,1
EMP1612,HR,40,14,5,3,0,Unsatisfied,2,2.0,2
EMP1613,Software Engineer,60,1,2,2,0,Satisfied,4,2.0,3
EMP1614,HR,41,5,3,1,0,Satisfied,1,1.0,3
EMP1615,Designer,41,7,4,3,1,Satisfied,4,,2
EMP1616,Project Manager,26,13,5,1,1,Unsatisfied,5,2.0,3
EMP1617,HR,50,2,1,3,0,Satisfied,5,1.0,3
EMP1618,Designer,26,2,4,3,1,Unsatisfied,3,,3
EMP1619,HR,29,12,5,1,0,Satisfied,5,2.0,2
EMP1620,Designer,28,4,1,2,1,Satisfied,4,2.0,3
EMP1621,Sales,22,8,3,3,1,Neutral,5,1.0,3
EMP1622,Data Scientist,52,12,5,1,1,Unsatisfied,4,1.0,1
EMP1623,HR,51,0,2,3,0,Neutral,3,1.0,3
EMP1624,Project Manager,24,2,2,3,1,Neutral,4,,1
EMP1625,Project Manager,41,6,2,1,0,Unsatisfied,4,1.0,3
EMP1626,Software Engineer,37,11,4,2,1,Unsatisfied,3,,3
EMP1627,Designer,53,1,4,2,0,Unsatisfied,5,,1
EMP1628,Designer,29,6,4,2,1,Neutral,2,,2
EMP1629,HR,49,9,2,3,1,Satisfied,5,1.0,3
EMP1630,Data Scientist,54,15,5,1,1,Unsatisfied,3,,3
EMP1631,Project Manager,21,1,4,1,0,Neutral,5,,3
EMP1632,Sales,20,2,3,3,1,Satisfied,2,,1
EMP1633,Data Scientist,25,2,4,2,0,Neutral,2,,3
EMP1634,Marketing,24,2,5,1,1,Unsatisfied,3,,3
EMP1635,Software Engineer,51,2,4,1,1,Satisfied,4,,3
EMP1636,Marketing,59,11,3,1,1,Unsatisfied,3,1.0,1
EMP1637,HR,21,5,3,2,0,Unsatisfied,4,1.0,3
EMP1638,Designer,34,3,3,1,1,Unsatisfied,3,1.0,3
EMP1639,Project Manager,46,9,4,2,0,Satisfied,3,2.0,1
EMP1640,Software Engineer,32,4,3,2,0,Unsatisfied,3,2.0,2
EMP1641,HR,25,12,3,2,1,Satisfied,2,,2
EMP1642,Data Scientist,51,10,1,3,1,Neutral,1,2.0,3
EMP1643,HR,31,6,1,3,1,Neutral,4,1.0,1
EMP1644,Sales,41,11,5,3,1,Satisfied,5,2.0,1
EMP1645,Designer,54,8,3,1,1,Satisfied,5,2.0,2
EMP1646,Project Manager,53,5,1,3,1,Neutral,1,2.0,1
EMP1647,Software Engineer,60,15,1,1,0,Neutral,4,1.0,3
EMP1648,Software Engineer,47,13,5,1,0,Neutral,3,1.0,1
EMP1649,Designer,55,9,3,2,1,Unsatisfied,2,2.0,2
EMP1650,Data Scientist,37,3,2,1,1,Neutral,3,,3
EMP1651,Marketing,42,14,1,3,1,Unsatisfied,4,,2
EMP1652,HR,40,3,1,1,1,Neutral,3,1.0,2
EMP1653,Marketing,21,6,4,1,0,Neutral,1,2.0,3
EMP1654,Software Engineer,38,8,5,1,1,Neutral,3,2.0,3
EMP1655,HR,20,0,3,3,0,Neutral,2,2.0,3
EMP1656,Data Scientist,44,6,3,3,0,Satisfied,4,1.0,2
EMP1657,Software Engineer,24,9,4,2,1,Neutral,5,2.0,2
EMP1658,Designer,48,14,1,2,1,Neutral,2,1.0,3
EMP1659,HR,60,6,3,1,0,Unsatisfied,5,1.0,1
EMP1660,Software Engineer,26,3,3,1,0,Unsatisfied,3,,3
EMP1661,Project Manager,24,13,3,3,0,Neutral,3,2.0,2
EMP1662,Designer,41,14,3,1,0,Satisfied,3,1.0,2
EMP1663,HR,27,6,2,2,0,Satisfied,5,2.0,3
EMP1664,Designer,38,4,4,1,1,Unsatisfied,1,2.0,3
EMP1665,Project Manager,41,14,4,1,1,Satisfied,3,2.0,2
EMP1666,Designer,20,9,4,3,1,Neutral,2,2.0,3
EMP1667,Software Engineer,22,4,3,2,1,Neutral,2,1.0,1
EMP1668,Designer,22,1,1,2,1,Neutral,1,1.0,3
EMP1669,Data Scientist,24,11,5,2,1,Neutral,4,,3
EMP1670,Data Scientist,50,2,3,1,1,Neutral,2,1.0,1
EMP1671,HR,25,2,3,1,0,Satisfied,5,2.0,3
EMP1672,Sales,35,7,5,3,0,Satisfied,2,2.0,2
EMP1673,Project Manager,40,8,4,3,1,Unsatisfied,2,2.0,1
EMP1674,Marketing,50,10,4,3,0,Unsatisfied,1,1.0,2
EMP1675,Data Scientist,51,15,4,3,1,Satisfied,3,2.0,1
EMP1676,Data Scientist,52,2,2,1,1,Satisfied,4,1.0,2
EMP1677,Sales,42,14,4,2,0,Unsatisfied,4,,2
EMP1678,Software Engineer,23,15,1,3,1,Unsatisfied,4,2.0,2
EMP1679,Project Manager,26,12,5,2,0,Unsatisfied,2,1.0,3
EMP1680,Designer,44,15,1,3,1,Satisfied,5,,1
EMP1681,Sales,44,7,4,3,0,Satisfied,4,,1
